field,title,author,abstract
Biophysics,Structural organization of p62 filaments and the cellular ultrastructure of calcium-rich p62-enwrapped lipid droplet cargo,"Sabrina,Lisa,Alexandros,Siavash,Olivera,Peng-Han,Lokesh,Lipi,Joerg,Rafal E,Carsten,Sabrina,Lisa,Alexandros,Siavash,Olivera,Peng-Han,Lokesh,Lipi,Joerg,Rafal E,Carsten,Sabrina,Lisa,Alexandros,Siavash,Olivera,Peng-Han,Lokesh,Lipi,Joerg,Rafal E","The selective autophagy receptor p62/SQSTM1 (from hereon p62) is known to form higher-order filaments in vitro and to undergo liquid-liquid phase separation when mixed with poly-ubiquitin. We determined the full-length cryo-EM structure of p62 and elucidated a structured double helical filament scaffold associated with the PB1-domain and the flexible C-terminal part residing in the lumen and the solvent-accessible major groove. At different pH values and upon binding to soluble LC3, LC3-conjugated membranes and poly-ubiquitin, we observed p62 filament re-arrangements in the form of structural unwinding, disassembly, lateral association and bundling, respectively. In the cellular environment, under conditions of ATG5 knockdown leading to stalled autophagy, we imaged high-contrast layers consisting of p62 oligomers enwrapping lipid droplets by cryogenic electron tomography in cellulo, which we identified as calcium phosphate by compositional spectroscopy analysis. Together, we visualized the cellular ultrastructure of p62 oligomers with high calcium content as a potential intermediate step of autophagy initiation."
Biophysics,Physical traits of supercompetitors in cell competition,"Logan C,Shiladitya,Logan C,Shiladitya,Logan C","Cell competition is a fitness control mechanism in tissues, where less fit cells are eliminated to maintain tissue homeostasis. Two primary mechanisms of cell elimination have been identified in cell competition studies: contact-dependent cell death and mechanical compression-driven apoptosis. While both occur in tissues, their combined impact on population dynamics is unclear. Here we develop a cell-based computational model to study competition between two cell types with differing physical properties. The model integrates cellular mechanics with cell-cycle dynamics, contact-induced apoptosis, and cell extrusion via mechanical stress. Using this model, we explored how differences in physical traits between cell types influence competitive interactions. Our findings show that differences in cell compressibility alone can drive mechanical competition, with stiffer cells outcompeting softer ones in otherwise identical populations. Surprisingly, mutations that reduce cell stiffness, combined with decreased contact inhibition of proliferation, can create a ""soft"" super-competitive mutant. We demonstrate that changes in apoptosis sensitivity, cell adhesion, and cell size significantly affect growth potential and susceptibility to apoptosis. Furthermore, mutant cell colonies require a critical colony size, dependent on cell compressibility, to overtake the surrounding wild-type tissue. For colonies below the critical size, the elimination process is stochastic, driven by a protrusive finger-like instability in the interface between two cells that promote invasion of the supercompetitors."
Biophysics,3D super-resolution imaging of PSD95 reveals an abundance of diffuse protein supercomplexes in the mouse brain,"Sam,Edita,Anoushka,Katie,Leila,Candace,Takeshi,Alexandre,Alexander,Gregory,Kevin,Seth G.N.,Mathew H,Steven F,Sam,Edita,Anoushka,Katie,Leila,Candace,Takeshi,Alexandre,Alexander,Gregory,Kevin,Seth G.N.,Mathew H,Steven F,Sam,Edita,Anoushka,Katie,Leila,Candace,Takeshi,Alexandre,Alexander,Gregory,Kevin,Seth G.N.,Mathew H","PSD95 is an abundant scaffolding protein that assembles multiprotein complexes controlling synaptic physiology and behavior. Confocal microscopy has previously shown that PSD95 is enriched in the postsynaptic terminals of excitatory synapses and 2D super-resolution microscopy further revealed that it forms nanoclusters. In this study, we utilized 3D super-resolution microscopy to examine the nanoarchitecture of PSD95 in the mouse brain, characterizing over 8 million molecules. While we were able to identify structural subtypes previously reported, imaging in 3D allowed us to classify these with higher accuracy. Furthermore, 3D super-resolution microscopy enabled the quantification of protein levels, revealing an abundance of PSD95 molecules existed outside of synapses as a diffuse population of supercomplexes, containing multiple copies of PSD95. Further analysis of the supercomplexes containing two units identified two populations: one that had PSD95 molecules separated by 39 ± 2 nm, and a second with a separation of 94 ± 27 nm. These results suggest that PSD95 supercomplexes containing multiple protein copies assemble outside the synapse and then integrate into the synapse to form a supramolecular nanocluster architecture."
Biophysics,Model-free machine learning-based 3D single molecule localisation microscopy,"Miguel d'Arcangues,Seth,Jonathan P.E.,Edwin,Sunil,Chris,Mark A. A.,Paul P. W.,Edward A.K.,Miguel d'Arcangues,Seth,Jonathan P.E.,Edwin,Sunil,Chris,Mark A. A.,Paul P. W.,Edward A.K.,Miguel d'Arcangues,Seth,Jonathan P.E.,Edwin,Sunil,Chris,Mark A. A.,Paul P. W.","Single molecule localisation microscopy (SMLM) can provide two-dimensional super-resolved image datafrom conventional fluorescence microscopes, while three dimensional (3D) SMLM usually involves amodification of the microscope, e.g. to engineer a predictable axial variation in the point spread function. Herewe demonstrate a 3D SMLM approach (we call easyZloc) utilising a lightweight Convolutional NeuralNetwork that is generally applicable, including with standard (unmodified) fluorescence microscopes, andwhich we consider may be practically useful in a high throughput SMLM workflow. We demonstrate thereconstruction of nuclear pore complexes with comparable performance to previously reported methods butwith a significant reduction in computational power and execution time. 3D reconstructions of the nuclearenvelope and a tubulin sample over a larger axial range are also shown."
Biophysics,Insights into a clock's fidelity through vesicular encapsulation,"Alexander Zhan Tu,Andy,Anand Bala,Alexander Zhan Tu,Andy,Anand Bala,Alexander Zhan Tu,Andy","The single-celled cyanobacterium, Synechococcus elongatus, generates circadian rhythms with exceptional fidelity and synchrony despite their femtoliter volumes. Here, we explore the mechanistic aspects of this fidelity, by reconstituting the KaiABC post-translational oscillator (PTO) in cell-mimetic giant vesicles (GUVs) under well-defined conditions in vitro. PTO proteins were encapsulated with a coefficient of variation that closely matched protein variations observed in live cells. Using fluorescently labeled KaiB and confocal microscopy, we were able to measure circadian rhythms generated by thousands of encapsulated PTOs at the single-vesicle level for several days as a function of protein concentration and GUV size. We find that PTO fidelity decreased with decreasing levels of encapsulated PTO proteins and in smaller GUVs. We also observed that in encapsulated PTOs, a significant fraction of KaiB localized to GUV membranes like it does in cyanobacteria. A mathematical model that uses empirical bulk concentration and stoichiometry limitations suggests that cyanobacteria overcome challenges to fidelity by expressing high levels of PTO proteins along with the CikA and SasA proteins, which buffer stochastic variations in the levels of KaiA and KaiB, respectively. Further, the model suggests that the transcription-translation feedback loop (TTFL) contributes at most a small percentage to the overall fidelity of the cyanobacterial circadian clock under constant conditions but is essential for maintaining phase synchrony. Our results are the first experimental demonstration of populations of synthetic cells that can autonomously keep circadian time. Additionally, the approach of using bulk relationships to understand complex phenomena in cell-like systems could be useful for understanding other collective behavior important in biology, such as liquid-liquid phase separation."
Biophysics,Optimal network sizes for most robust Turing patterns,"Hazlam S,Aibek,Antonio,Robert G,Hazlam S,Aibek,Antonio,Robert G,Hazlam S,Aibek,Antonio","Many cellular patterns exhibit a reaction-diffusion component, suggesting that Turing instability may contribute to pattern formation. However, biological gene-regulatory pathways are more complex than simple Turing activator-inhibitor models and generally do not require fine-tuning of parameters as dictated by the Turing conditions. To address these issues, we employ random matrix theory to analyze the Jacobian matrices of larger networks with robust statistical properties. Our analysis reveals that Turing patterns are more likely to occur by chance than previously thought and that the most robust Turing networks have an optimal size, surprisingly consisting only of a handful of molecular species, thus significantly increasing their identifiability in biological systems. This optimal size emerges from a tradeoff between the highest stability in small networks and the greatest instability with diffusion in large networks. Furthermore, we find that with multiple immobile nodes, differential diffusion ceases to be important for Turing patterns. Our findings may inform future synthetic biology approaches and provide insights into bridging the gap to complex developmental pathways."
Biophysics,Cell shape noise strength regulates shape dynamics during EMT-associated cell spreading,"Wolfram,Iskra,Guillaume,Ewa K,Wolfram,Iskra,Guillaume,Ewa K,Wolfram,Iskra,Guillaume","Cellular shape is intimately linked to cell function and state, and transitions between cell states are tightly coupled to shape changes. Yet, shape has been largely overlooked in state transitions studies. Here, we combine morphometric analysis with theoretical modeling and molecular perturbations to interrogate cell shape dynamics during epithelial-to-mesenchymal transition (EMT). Using stochastic inference, we extract the morphogenetic landscape underlying EMT. We show that within this landscape, EMT-associated cell spreading reflects a transition between shape attractors. Strikingly, we observe a peak in cell shape noise strength concomitant with spreading, and show that higher shape noise accelerates transitions between shape attractors. Our analysis framework will be widely applicable to quantitative cell shape investigations in physiology and disease. Together, our results identify a key role for cellular stochasticity as a regulator of shape change rates, and highlight that shape dynamics yield rich phenotypic information that enhance our understanding of cellular states."
Zoology,Estimating the seroprevalence of tuberculosis (,"Rachel,Alison,Rachelle,Juan,Chris,Ricardo,Charlotte,Tony,Julia,Nick,Ruth,Susan,Graham,Rachel,Alison,Rachelle,Juan,Chris,Ricardo,Charlotte,Tony,Julia,Nick,Ruth,Susan,Graham,Rachel,Alison,Rachelle,Juan,Chris,Ricardo,Charlotte,Tony,Julia,Nick,Ruth,Susan","Bovine tuberculosis (bTB) is a major disease of cattle that is subject to an eradication strategy in England. To inform control policies and manage the epidemic, all potential sources of infection for cattle must be identified and understood. The causative agent of bTB, "
Zoology,"Influence of Shading on the Behavioral Ecology of a Caribbean Alcyonacean Octocoral, ","Savannah,Jason D.,Matthew,Savannah,Jason D.,Matthew,Savannah,Jason D.","Using a restricted set of behavioral responses, corals must obtain sufficient light to maximize photosynthesis while simultaneously avoiding predation and molecular damage from UV radiation. This study investigates the polyp behavioral response of the Caribbean octocoral "
Evolutionary Biology,Heterosis in crosses between remnant populations of a rare prairie forb: implications for restoration genetics,"Christopher G,Isabelle A,Juan Diego,Bob,Christopher G,Isabelle A,Juan Diego,Bob,Christopher G,Isabelle A,Juan Diego","Background and Aims
A major goal in both basic and applied evolutionary genetics is understanding the role of drift in shaping genetic variation with fitness consequences. For organisms amenable to controlled crosses, the increased fitness of progeny from between- relative to within-population crosses (heterosis) provides a useful tool to infer historical fixation of partly recessive deleterious alleles by drift and/or bottlenecks. Additionally, heterosis may also provide a unique benefit in regional admixture provenancing for restorations of rare plant species, but empirical data to directly test this idea is lacking.
Methods
We quantified heterosis in crosses between small remnant populations of a rare prairie forb (Silene regia Sims). We measured early fitness components (seed number per fruit, germination, and juvenile survival) in a controlled environment. Adult fitness components (survival and reproduction) were quantified over two flowering seasons in two different environments, a field common garden simulating the initial stages of a restoration, and a greenhouse. To our knowledge, our study is the first to estimate cumulative fitness for a rare species in conditions of a newly established restoration in the field. Additionally, we provide a unique comparison of heterosis estimated under controlled vs. field conditions.
Key Results
The consequences of between-population crosses for cumulative fitness in the field were strongly positive in two of the populations (132-292% heterosis) and neutral in a third. Heterosis was generally stronger when measured under field conditions and was more likely to be detected for adult fitness components.
Conclusions
Regional admixture provenancing in restorations should be beneficial for this species. We advocate for more research on heterosis in rare species, particularly in restorations. Such restorations can be opportunities for experimental genetics in addition to reestablishing important ecosystem services."
Biophysics,Within Thermal Scales: The Kinetic and Energetic Pull of Chemical Entropy,"Josh E.,Josh E.","Biological systems are fundamentally containers of thermally fluctuating atoms that through unknown mechanisms are structurally layered across many thermal scales from atoms to amino acids to primary, secondary, and tertiary structures to functional proteins to functional macromolecular assemblies and up. Understanding how the irreversible kinetics (i.e., the arrow of time) of biological systems emerge from the equilibrium kinetics of constituent structures defined on smaller thermal scales is central to describing biological function. Muscle’s irreversible power stroke – with its mechanochemistry defined on both the thermal scale of muscle and the thermal scale of myosin motors – provides a clear solution to this problem."
Biophysics,Binding Site Maturation Modulated by Molecular Density Underlies Ndc80 Binding to Kinetochore Receptor CENP-T,"Ekaterina V.,Gunter B.,Aleksandr,Anna S.,Fazoil I.,Iain M.,Ekaterina L.,Ekaterina V.,Gunter B.,Aleksandr,Anna S.,Fazoil I.,Iain M.,Ekaterina L.,Ekaterina V.,Gunter B.,Aleksandr,Anna S.,Fazoil I.,Iain M.", Authors declare that they have no competing interests.
Biophysics,Multilevel irreversibility reveals higher-order organisation of non-equilibrium interactions in human brain dynamics,"Ramón,Leonardo,Gemma,Peter,Gustavo,Morten L.,Renaud,Alain,Ramón,Leonardo,Gemma,Peter,Gustavo,Morten L.,Renaud,Alain,Ramón,Leonardo,Gemma,Peter,Gustavo,Morten L.,Renaud", 
Biophysics,Structural dynamics of the intrinsically disordered linker region of cardiac troponin T,"Jasmine,Lina,Akiva E.,Ryan J.,Melissa D.,Alex S.,Andrea,Michael J.,Jasmine,Lina,Akiva E.,Ryan J.,Melissa D.,Alex S.,Andrea,Michael J.,Jasmine,Lina,Akiva E.,Ryan J.,Melissa D.,Alex S.,Andrea", Biophysics and Computational Biology
Biophysics,Bilateral cellular flows display asymmetry prior to left-right organizer formation in amniote gastrulation,"Rieko,Shubham,Vivek N,Takashi,Rieko,Shubham,Vivek N,Takashi,Rieko,Shubham,Vivek N","A bilateral body plan is predominant throughout the animal kingdom. Bilaterality of amniote embryos becomes recognizable as midline morphogenesis begins at gastrulation, bisecting an embryonic field into the left and right sides, and left-right asymmetry patterning follows. While a series of laterality genes expressed after the left-right compartmentalization has been extensively studied, the laterality patterning prior to and during midline morphogenesis has remained unclear. Here, through a biophysical quantification in a high spatial and temporal resolution, applied to a chick model system, we show that a large-scale bilateral counter-rotating cellular flow, termed as polonaise movements, display left-right asymmetries in early gastrulation. This cell movement starts prior to the formation of the primitive streak, which is the earliest midline structure, and earlier than expression of laterality genes. The cellular flow speed and vorticity unravel the location and timing of the left-right asymmetries. The bilateral flows displayed a Right dominance after six hours since the start of cell movements. Mitotic arrest that diminishes primitive streak formation resulted in changes in the bilateral flow pattern, but the Right dominance persisted. Our data indicate that the left-right asymmetry in amniote gastrula becomes detectable prior to the point when the asymmetric regulation of the laterality signals at the node leads to the left-right patterning. More broadly, our results suggest that physical processes can play an unexpected but significant role in influencing left-right laterality during embryonic development."
Plant Biology,A Rab-Kinesin12-Fused kinase module couples vesicle delivery and phragmoplast remodelling during cytokinesis in Arabidopsis,"Liam,Monika,Moé,Michal,Andrei,Frédérique,James,Niloufer,Yvon,Patrick J,Viktor,Ian,Charlotte,Liam,Monika,Moé,Michal,Andrei,Frédérique,James,Niloufer,Yvon,Patrick J,Viktor,Ian,Charlotte,Liam,Monika,Moé,Michal,Andrei,Frédérique,James,Niloufer,Yvon,Patrick J,Viktor,Ian","Cytokinesis is a key process in the development of multicellular organisms, through both formative and proliferative divisions. In land plants, successful cytokinesis requires precise targeting of Golgi-derived vesicles to the future division plane by the phragmoplast, a cytoskeletal structure that undergoes continuous remodelling. Endomembrane trafficking and phragmoplast remodelling are tightly coupled, indicating the existence of active crosstalk. However, although many molecular regulators of membrane trafficking and cytoskeletal organisation are known, it remains poorly understood how these processes are co-ordinated. Here, we describe a regulatory module consisting of the membrane-associated GTPase RAB-A2a, cytoskeleton-associated Class II Kinesin-12s, and the Fused kinase orthologue TIO. We provide evidence that the interaction between these molecules at the midzone is essential for cytokinesis in Arabidopsis through simultaneously targeting to the midzone and coupling phragmoplast remodelling to vesicle delivery."
Plant Biology,Evolution and theft: loss of state transitions in Bryopsidales macroalgae and photosynthetic sea slugs,"Vesa,Axelle,Heta,Esa,Paulo,Sónia,Vesa,Axelle,Heta,Esa,Paulo,Sónia,Vesa,Axelle,Heta,Esa,Paulo","Green macroalgae within the order Bryopsidales lack the fundamental photoprotective mechanisms of green algae, the xanthophyll cycle and energy-dependent dissipation of excess light. Here, by measuring chlorophyll fluorescence at 77K after specific light treatments, we show that Bryopsidales algae also lack state transitions, another ubiquitous photoprotection mechanism present in other green algae. Certain Sacoglossa sea slugs can feed on Ulvophyceae algae, including some Bryopsidales, and steal chloroplasts -kleptoplasts- that remain functional inside the animal cells for months without the support of the algal nucleus. Our data reveal that the state transition capacity is not retained in the kleptoplasts of the sea slugs, and we provide evidence that the loss is caused by structural changes during their incorporation by the animals. This enforced chloroplast sphericity was observed in all studied kleptoplastic associations, and we propose that it is a fundamental property supporting long-term retention of kleptoplasts in photosynthetic sea slugs."
Plant Biology,"Capsanthin/Capsorubin Synthase Expression in Tomato Alters Carotenoid Pools, Enhancing Provitamin A and Flavor Volatiles","Jingwei,Denise,Bala,Jingwei,Denise,Bala,Jingwei,Denise","Expression of capsanthin/capsorubin synthase in tomato enhanced total carotenoids, β-carotene, ketocarotenoids and flavor volatiles in ripening fruit with no impact on plant growth and development."
Biophysics,"Across Thermal Scales: Quantized Thermodynamics, Nested Resonant Structures, and the Entropic Stability of Life","Josh E.,Josh E.","Biological systems are fundamentally containers of thermally fluctuating atoms that through unknown mechanisms are structurally layered across many thermal scales from atoms to amino acids to primary, secondary, and tertiary structures to functional proteins to functional macromolecular assemblies and up. Understanding how chemical thermodynamics sc ales across these layered structures is central to describing biological structure and function. Muscle – with chemical thermodynamics well-defined on two different thermal scales – provides a clear solution to this problem. In 1938, A.V. Hill made the extraordinary observation that the mechanics and chemistry of muscle contraction is defined independent of the structural components of muscle, implying that the mechanics and chemistry of myosin motor proteins within muscle do not classically scale up to muscle. We have demonstrated experimentally that thermal scaling bridges Hill’s top-down thermodynamics and the bottom-up philosophy of molecular biologists. That is, with thermal scaling "
